0	1	1	0.0000003	0.00000	0.00000	0.00000	0.0000004	1
1	9	10	0.0000027	0.00000	0.00000	0.00000	0.0000029	9
2	54	64	0.0000174	0.00001	0.00001	0.00002	0.0000175	54
3	321	385	0.0001048	0.00009	0.00009	0.00010	0.0001042	319
4	1847	2232	0.0006075	0.00052	0.00052	0.00062	0.0006190	1892
5	9992	12224	0.0033270	0.00306	0.00306	0.00368	0.0036717	11216
6	50136	62360	0.0169726	0.01817	0.01817	0.02185	0.0216135	65921
7	227536	289896	0.0789013	0.10794	0.10794	0.12979	0.1217224	367816
8	870072	1159968	0.3157097	0.10232	0.60778	0.73758	0.5217280	1469684
9	1887748	3047716	0.8295001	0.45544	2.70533	3.44291	0.9680284	1639779
10	623800	3671516	0.9992804	0.93315	5.54292	8.98583	0.9998748	117009
11	2644	3674160	1.0000000	0.99608	5.91674	14.90258	0.9999997	459
12	0	3674160	1.0000000	0.99731	5.92400	20.82657	1.0000000	1
13	0	3674160	1.0000000	0.99733	5.92411	26.75069	1.0000000	0
