0	1	1	0.0000003	0.00000		0.00000		2
1	9	10	0.0000027	0.00000		0.00000		9
2	54	64	0.0000174	0.00001		0.00002		54
3	321	385	0.0001048	0.00009		0.00010		319
4	1847	2232	0.0006075	0.00052		0.00062		1892
5	9992	12224	0.0033270	0.00306		0.00368		11240
6	50136	62360	0.0169726	0.01817		0.02185		66767
7	227536	289896	0.0789013	0.10794		0.12979		396596
8	870072	1159968	0.3157097	0.45369		0.58348		1666937
9	1887748	3047716	0.8295001	0.41587		0.99935		1527974
10	623800	3671516	0.9992804	0.00065		1.00000		2370
11	2644	3674160	1.0000000	0.00000		1.00000		0
12	0	3674160	1.0000000	0.00000		1.00000		0
13	0	3674160	1.0000000	0.00000		1.00000		0
